760	Version	The Version field indicates the format of the internet header . This document describes version 4 . 	220	0
760	IHL	Internet Header Length is the length of the internet header in 32 bit words , and thus points to the beginning of the data . Note that the minimum value for a correct header is 5 . 	100	0
760	Type of Service	The Type of Service provides an indication of the abstract parameters of the quality of service desired . These parameters are to be used to guide the selection of the actual service parameters when transmitting a datagram through a particular network . Several networks offer service precedence , which somehow treats high precedence traffic as more important than other traffic . A few networks offer a Stream service , whereby one can achieve a smoother service at some cost . Typically this involves the reservation of resources within the network . Another choice involves a low-delay vs . high-reliability trade off . Typically networks invoke more complex ( and delay producing ) mechanisms as the need for reliability increases . 	240	0
760	Total Length	Total Length is the length of the datagram , measured in octets , including internet header and data . This field allows the length of a datagram to be up to 65,535 octets . Such long datagrams are impractical for most hosts and networks . All hosts must be prepared to accept datagrams of up to 576 octets ( whether they arrive whole 	100	0
760	Identification	An identifying value assigned by the sender to aid in assembling the fragments of a datagram . 	400	0
760	Flags	Flags : 3 bits 	231	0
760	Fragment Offset	This field indicates where in the datagram this fragment belongs . The fragment offset is measured in units of 8 octets ( 64 bits ). The first fragment has offset zero . 	110	0
760	Time to Live	This field indicates the maximum time the datagram is allowed to remain the internet system . If this field contains the value zero , then the datagram should be destroyed . This field is modified in internet header processing . The time is measured in units of seconds . The intention is to cause undeliverable datagrams to be discarded . 	122	0
760	Protocol	This field indicates the next level protocol used in the data portion of the internet datagram . The values for various protocols are specified in reference [ 6 ]. 	231	0
760	Header Checksum	A checksum on the header only . Since some header fields may change ( e.g ., time to live ), this is recomputed and verified at each point that the internet header is processed . 	301	0
760	Source Address	The source address . The first octet is the Source Network , and the following three octets are the Source Local Address . 	230	0
760	Destination Address	The destination address . The first octet is the Destination Network , and the following three octets are the Destination Local Address . 	230	0
760	Options	The option field is variable in length . There may be zero or more options . There are two cases for the format of an option : 	400	0
760	Version	Version : Same as the datagram in error . IHL : As computed . Type of Service : Zero . Total Length : As computed . Identification : A new identification is selected . Flags : Zero . Fragment Offset : Zero . Time to Live : Sixty . Protocol : Same as the datagram in error . Header Checksum : As computed . Source Address : Address of the error reporting module . Destination Address : Source address of the datagram in error . Options : The General Error Report Option . Padding : As needed . 	110	0
760	Padding	The internet header padding is used to ensure that the internet header ends on a 32 bit boundary . The padding is zero . 	302	0
760	Identification	The choice of the Identifier for a datagram is based on the need to provide a way to uniquely identify the fragments of a particular datagram . The protocol module assembling fragments judges fragments to belong to the same datagram if they have the same source , destination , protocol , and Identifier . Thus , the sender must choose the Identifier to be unique for this source , destination pair and protocol for the time the datagram ( or any fragment of it ) could be alive in the internet . 	231	0
760	Type of Service	The type of service ( TOS ) is for internet service quality selection . The type of service is specified along the abstract parameters precedence , reliability , and speed . A further concern is the possibility of efficient handling of streams of datagrams . These abstract parameters are to be mapped into the actual service parameters of the particular networks the datagram traverses . 	231	0
760	Time to Live	The time to live is set by the sender to the maximum time the datagram is allowed to be in the internet system . If the datagram is in the internet system longer than the time to live , then the datagram should be destroyed . This field should be decreased at each point that the internet header is processed to reflect the time spent processing the datagram . Even if no local information is available on the time actually spent , the field should be decremented by 1 . The time is measured in units of seconds ( i.e . the value 1 means one second ). Thus , the maximum time to live is 255 seconds or 4.25 minutes . 	122	0
760	Options	The options are just that , optional . That is , the presence or absence of an option is the choice of the sender , but each internet module must be able to parse every option . There can be several options present in the option field . 	400	0
761	Source Port	Source Port : 16 bits 	302	0
761	Destination Port	Destination Port : 16 bits 	400	0
761	Sequence Number	The sequence number of the first data octet in this segment ( except when SYN is present ). 	201	0
761	Acknowledgment Number	If the ACK control bit is set this field contains the value of the next sequence number the sender of the segment is expecting to receive . Once a connection is established this is always sent . 	201	0
761	Data Offset	The number of 32 bit words in the TCP Header . This indicates where the data begins . The TCP header including options is an integral number of 32 bits long . 	110	0
761	Reserved	Reserved : 6 bits 	500	0
761	URG	URG : Urgent Pointer field significant ACK : Acknowledgment field significant EOL : End of Letter RST : Reset the connection SYN : Synchronize sequence numbers FIN : No more data from sender 	240	0
761	Window	The number of data octets beginning with the one indicated in the acknowledgment field which the sender of this segment is willing to accept . 	110	0
761	Checksum	The checksum field is the 16 bit one's complement of the one's complement sum of all 16 bit words in the header and text . If a segment contains an odd number of header and text octets to be checksummed , the last octet is padded on the right with zeros to form a 16 bit word for checksum purposes . The pad is not transmitted as part of the segment . While computing the checksum , the checksum field itself is replaced with zeros . 	301	0
761	Urgent Pointer	This field communicates the current value of the urgent pointer as a positive offset from the sequence number in this segment . The urgent pointer points to the sequence number of the octet following the urgent data . This field should only be interpreted in segments with the URG control bit set . 	110	0
761	Options	Options may occupy space at the end of the TCP header and are a multiple of 8 bits in length . All options are included in the checksum . An option may begin on any octet boundary . There are two cases for the format of an option : 	110	0
761	Padding	The TCP header padding is used to ensure that the TCP header ends and data begins on a 32 bit boundary . The padding is composed of zeros . 	302	0
761	SYN	SYN-SENT - represents waiting for a matching connection request after having sent a connection request . 	201	0
761	SYN	SYN-RECEIVED - represents waiting for a confirming connection request acknowledgment after having both received and sent a connection request . 	121	0
761	FIN	FIN-WAIT-1 - represents waiting for a connection termination request from the remote TCP , or an acknowledgment of the connection termination request previously sent . 	121	0
761	FIN	FIN-WAIT-2 - represents waiting for a connection termination request from the remote TCP . 	110	0
761	RST	A reset segment ( RST ) should be formed and sent : 	201	0
765	d	String of n data bytes d(1 ),..., d(n ) Count n must be positive . 	302	0
765	n	String of n data bytes d(1 ),..., d(n ) Count n must be positive . 	302	0
777	Type	Type 	240	0
777	Code	Code 	231	0
777	Type	Type 	240	0
777	Code	Code 	231	0
777	Type	Type 	240	0
777	Code	Code 	231	0
777	Parameter	Parameter 	231	0
777	Type	Type 	240	0
777	Type	Type 	240	0
777	Code	Code 	231	0
777	Gateway Internet Address	Address of the gateway to which traffic for the network specified in the internet destination network field of the original datagram's data should be sent . 	230	0
777	Type	Type 	240	0
777	Type	Type 	240	0
783	Source Port	Source Port Picked by originator of packet . 	230	0
783	Length	Length Number of bytes in packet after Datagram header . 	100	0
791	Version	The Version field indicates the format of the internet header . This document describes version 4 . 	220	0
